BlendedAirfoil                                  
 Alfa =   7.25000 Re =    60000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000 -0.03912
   0.99360  0.00192 -0.04001
   0.98272  0.00530 -0.04395
   0.97032  0.00914 -0.04931
   0.95680  0.01317 -0.05645
   0.94246  0.01720 -0.06545
   0.92739  0.02118 -0.07622
   0.91167  0.02516 -0.08865
   0.89549  0.02915 -0.10284
   0.87905  0.03313 -0.11850
   0.86245  0.03708 -0.13586
   0.84577  0.04099 -0.15495
   0.82904  0.04484 -0.17589
   0.81229  0.04864 -0.19891
   0.79553  0.05238 -0.22421
   0.77875  0.05606 -0.25207
   0.76200  0.05967 -0.28276
   0.74535  0.06319 -0.31664
   0.72877  0.06660 -0.35421
   0.71222  0.06990 -0.39636
   0.69568  0.07308 -0.44419
   0.67915  0.07616 -0.50462
   0.66266  0.07911 -0.57777
   0.64620  0.08193 -0.64429
   0.62976  0.08462 -0.72287
   0.61329  0.08718 -0.81793
   0.59681  0.08962 -0.94914
   0.58038  0.09191 -0.95113
   0.56400  0.09406 -0.95292
   0.54760  0.09605 -0.95458
   0.53117  0.09790 -0.95618
   0.51477  0.09961 -0.95777
   0.49845  0.10115 -0.95943
   0.48218  0.10252 -0.96128
   0.46588  0.10371 -0.96339
   0.44957  0.10475 -0.96584
   0.43329  0.10561 -0.96876
   0.41711  0.10630 -0.97231
   0.40098  0.10679 -0.97674
   0.38489  0.10708 -0.98230
   0.36879  0.10718 -0.98934
   0.35270  0.10708 -0.99828
   0.33674  0.10680 -1.00957
   0.32097  0.10629 -1.02380
   0.30526  0.10554 -1.04158
   0.28945  0.10454 -1.06263
   0.27369  0.10335 -1.08695
   0.25820  0.10195 -1.11496
   0.24291  0.10027 -1.14541
   0.22758  0.09831 -1.17705
   0.21226  0.09610 -1.21013
   0.19713  0.09366 -1.24347
   0.18221  0.09095 -1.27564
   0.16741  0.08797 -1.30642
   0.15275  0.08473 -1.33867
   0.13836  0.08125 -1.37190
   0.12444  0.07757 -1.40667
   0.11101  0.07364 -1.43752
   0.09797  0.06946 -1.46835
   0.08560  0.06517 -1.50704
   0.07425  0.06087 -1.54549
   0.06387  0.05649 -1.57015
   0.05444  0.05215 -1.60134
   0.04611  0.04801 -1.64517
   0.03891  0.04412 -1.68607
   0.03273  0.04046 -1.71974
   0.02743  0.03701 -1.74319
   0.02288  0.03375 -1.75792
   0.01898  0.03066 -1.75975
   0.01561  0.02774 -1.75196
   0.01272  0.02495 -1.72837
   0.01024  0.02228 -1.68598
   0.00811  0.01971 -1.62327
   0.00630  0.01724 -1.54882
   0.00476  0.01485 -1.43271
   0.00350  0.01255 -1.30532
   0.00246  0.01033 -1.15320
   0.00163  0.00819 -0.99182
   0.00098  0.00612 -0.83863
   0.00048  0.00410 -0.70489
   0.00015  0.00214 -0.57358
   0.00001  0.00024 -0.39441
   0.00012 -0.00161 -0.15243
   0.00052 -0.00343  0.15722
   0.00123 -0.00524  0.45715
   0.00223 -0.00703  0.69147
   0.00354 -0.00879  0.85065
   0.00514 -0.01048  0.94685
   0.00705 -0.01212  0.99182
   0.00924 -0.01371  1.00000
   0.01171 -0.01530  0.98765
   0.01450 -0.01689  0.95916
   0.01766 -0.01852  0.92628
   0.02125 -0.02021  0.88246
   0.02534 -0.02197  0.83598
   0.03002 -0.02380  0.78280
   0.03539 -0.02569  0.72611
   0.04158 -0.02763  0.67056
   0.04875 -0.02960  0.61395
   0.05710 -0.03158  0.56132
   0.06678 -0.03358  0.51231
   0.07781 -0.03556  0.46456
   0.09010 -0.03747  0.41987
   0.10359 -0.03926  0.38253
   0.11806 -0.04096  0.34685
   0.13314 -0.04249  0.31239
   0.14862 -0.04385  0.28214
   0.16445 -0.04503  0.25544
   0.18059 -0.04604  0.23325
   0.19691 -0.04691  0.21107
   0.21328 -0.04763  0.19025
   0.22971 -0.04819  0.17255
   0.24629 -0.04860  0.15671
   0.26296 -0.04890  0.14193
   0.27961 -0.04908  0.12710
   0.29624 -0.04912  0.11408
   0.31291 -0.04903  0.10267
   0.32963 -0.04882  0.09153
   0.34633 -0.04849  0.08147
   0.36298 -0.04803  0.07260
   0.37961 -0.04745  0.06504
   0.39623 -0.04673  0.05849
   0.41285 -0.04588  0.05339
   0.42943 -0.04489  0.04941
   0.44597 -0.04378  0.04692
   0.46247 -0.04253  0.04598
   0.47892 -0.04112  0.04718
   0.49532 -0.03957  0.05020
   0.51176 -0.03785  0.05552
   0.52831 -0.03597  0.06298
   0.54506 -0.03395  0.07156
   0.56199 -0.03181  0.08112
   0.57906 -0.02959  0.09076
   0.59626 -0.02732  0.10039
   0.61355 -0.02500  0.10942
   0.63090 -0.02268  0.11805
   0.64824 -0.02037  0.12630
   0.66552 -0.01809  0.13433
   0.68272 -0.01585  0.14173
   0.69982 -0.01367  0.14866
   0.71684 -0.01156  0.15493
   0.73379 -0.00953  0.16092
   0.75067 -0.00760  0.16648
   0.76746 -0.00576  0.17183
   0.78418 -0.00404  0.17673
   0.80079 -0.00245  0.18120
   0.81731 -0.00100  0.18526
   0.83371  0.00030  0.18880
   0.85000  0.00143  0.19148
   0.86619  0.00238  0.19316
   0.88223  0.00314  0.19337
   0.89808  0.00370  0.19199
   0.91366  0.00404  0.18835
   0.92887  0.00415  0.18178
   0.94358  0.00401  0.17158
   0.95760  0.00361  0.15654
   0.97069  0.00296  0.13393
   0.98268  0.00205  0.10041
   0.99348  0.00090  0.04882
   1.00000  0.00000  0.05692
